14,18
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,C57731 True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
000000 False,000000 False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,C57731 True,000000 False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
C57731 True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,C57731 True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
000000 False,000000 False,000000 False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,C57731 True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,C57731 False,000000 False
FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False
FFFFFF False,C57731 True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,C57731 True,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,C57731 True,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,C57731 False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False
000000 False,000000 False,000000 False,000000 False,000000 False,000000 False,000000 False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
