10,9
FF00FF True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
000000 False,000000 False,000000 False,000000 False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FF00FF True,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FF00FF False,FFFFFF False,FF00FF True,000000 False,FF00FF True,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FF00FF True,000000 False,FF00FF True,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FF00FF False,FFFFFF False,FFFFFF False,FF00FF True,000000 False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FF00FF True
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FF00FF True,FFFFFF False
