12,13
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF True,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
CC99FF False,FFFFFF False,CC99FF False,CC99FF False,CC99FF False,FFFFFF False,FFFFFF False,CC99FF True,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF True
CC99FF False,884C2E False,884C2E False,FFFFFF False,CC99FF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF True
CC99FF False,CC99FF False,CC99FF False,CC99FF False,CC99FF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF True
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF False,CC99FF False,CC99FF False,CC99FF False,FFFFFF False,FFFFFF False
CC99FF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF False,FFC000 False,FFFFFF False,CC99FF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF False,FFFFFF False,FFC000 False,CC99FF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,CC99FF False,CC99FF False,CC99FF False,CC99FF False,FFFFFF False,FFFFFF False
884C2E False,884C2E False,884C2E False,884C2E False,884C2E False,884C2E False,884C2E False,FFFFFF False,FFFFFF False,FFFFFF False,884C2E False,FFFFFF False,FFFFFF False
884C2E False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,884C2E False,884C2E False,FFFFFF False,884C2E False,884C2E False,884C2E False,FFFFFF False,FFFFFF False
