12,15
00B050 False,00B050 False,00B050 False,FFFFFF False,00B0F0 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,00B050 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,00B0F0 False
00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,00B050 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,00B050 False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False
00B0F0 False,000000 False,00B050 False,00B050 False,00B050 False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,000000 False,FFFFFF False,FFFFFF False,FFFFFF False
00B0F0 False,FFFFFF False,FFFFFF False,FFFFFF False,00B050 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,00B0F0 False,FFFFFF False,FFFFFF False,00B0F0 False,00B0F0 False,00B0F0 False
00B0F0 False,FFFFFF False,FFFFFF False,FFFFFF False,00B050 False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,FFFFFF False,00B0F0 True,FFFFFF False,00B0F0 False,00B0F0 False,00B0F0 False
